pfr_player_id,player_name,pfr_player_name,position,primary_position,last_team,last_class,n_seasons,first_season,last_season,first_av_year,target_av,games,rush_att,rush_yds,rush_td,best_season_rush_yds,best_season_rush_td,career_rush_y_per_a
HubbCh01,Chuba Hubbard,Chuba Hubbard,RB,RB,Oklahoma State,SO,2,2018,2019,2021,9.0,26,452,2834,28,2094,21,6.269911504424779
FasoCi00,Ciatrick Fason,Ciatrick Fason,RB,RB,Florida,SO,1,2003,2003,2005,1.0,13,84,583,3,583,3,6.940476190476191
WoodCi00,Cierre Wood,Cierre Wood,RB,RB,Notre Dame,JR,2,2010,2011,2013,0.0,26,336,1705,12,1102,9,5.074404761904762
SmitCl22,Clifton Smith,Clifton Smith,RB,RB,Fresno State,SR,1,2007,2007,2008,2.0,13,100,625,5,625,5,6.25
EdwaCl00,Clyde Edwards-Helaire,Clyde Edwards-Helaire,RB,RB,LSU,JR,2,2018,2019,2020,13.0,28,361,2072,23,1414,16,5.739612188365651
SchrCo00,Cody Schrader,Cody Schrader,RB,RB,Missouri,SR,2,2022,2023,2024,0.0,26,446,2372,23,1627,14,5.318385650224215
HeywCo00,Connor Heyward,Connor Heyward,RB,TE,Michigan State,SO,1,2018,2018,2022,2.0,13,118,529,5,529,5,4.483050847457627
ClemCo00,Corey Clement,Corey Clement,RB,RB,Wisconsin,SR,2,2014,2016,2017,6.0,27,461,2324,24,1375,15,5.0412147505422995
RossCo00,Cory Ross,Cory Ross,RB,RB,Nebraska,SO,1,2003,2003,2006,0.0,13,130,575,4,575,4,4.423076923076923
SamuCu00,Curtis Samuel,Curtis Samuel,RB,WR,Ohio State,JR,1,2016,2016,2017,6.0,13,97,771,8,771,8,7.948453608247423
GrayCy00,Cyrus Gray,Cyrus Gray,RB,RB,Texas A&M,JR,2,2009,2010,2012,1.0,26,359,1890,17,1133,12,5.264623955431754
SwifDA00,D'Andre Swift,D'Andre Swift,RB,RB,Georgia,JR,3,2017,2019,2020,13.0,43,440,2885,20,1218,10,6.556818181818182
JohnDE04,D'Ernest Johnson,D'Ernest Johnson,RB,RB,South Florida,JR,1,2016,2016,2019,2.0,13,111,543,8,543,8,4.891891891891892
PricDV00,D'Vonte Price,D'Vonte Price,RB,RB,Florida International,SO,1,2018,2018,2022,0.0,13,90,560,5,560,5,6.222222222222222
FostD.01,D.J. Foster,D.J. Foster,RB,WR,Arizona State,JR,3,2012,2014,2016,1.0,40,389,2075,17,1081,9,5.334190231362468
ScotDa01,Da'Rel Scott,Da'Rel Scott,RB,RB,Maryland,SR,1,2010,2010,2011,0.0,13,122,708,5,708,5,5.80327868852459
DiedDa20,Dahrran Diedrick,Dahrran Diedrick,RB,RB,Nebraska,SR,1,2002,2002,2004,0.0,14,179,931,6,931,6,5.201117318435754
CookDa01,Dalvin Cook,Dalvin Cook,RB,RB,Florida State,JR,2,2014,2016,2017,9.0,26,458,2773,27,1765,19,6.054585152838428
DawkDa01,Dalyn Dawkins,Dalyn Dawkins,RB,RB,Colorado State,SR,1,2017,2017,2018,0.0,13,226,1399,8,1399,8,6.1902654867256635
PierDa01,Dameon Pierce,Dameon Pierce,RB,RB,Florida,SR,1,2021,2021,2022,10.0,13,100,574,13,574,13,5.74
HarrDa06,Damien Harris,Damien Harris,RB,RB,Alabama,SR,3,2016,2018,2019,5.0,44,431,2913,22,1037,11,6.758700696055684
