model_type,model,pick_bin_start,pick_bin_end,n,actual_mean_av,predicted_mean_av,mae,rmse,spearman,r2
xgb,XGBoost,81,96,288,5.197916666666667,4.112049163435586,3.731992024320385,5.115302659962442,0.016087536288581304,-0.11846469330133802
xgb,XGBoost,97,112,288,4.038194444444445,3.499140243125213,2.9101768591095203,3.9783466499933207,0.2547074265528463,0.04690651325898132
xgb,XGBoost,113,128,288,3.25,3.1800888376997642,2.6717246540784902,3.6243771079797615,0.1477938320033183,-0.020280343366814835
xgb,XGBoost,129,144,288,3.0069444444444446,2.690104436210984,2.8591781808879912,4.105983417376499,0.05554336887018878,-0.10000816201566076
xgb,XGBoost,145,160,288,3.0868055555555554,2.2650608852588143,2.852686738148299,4.110305746191062,0.02230387499524968,-0.09962389311021336
xgb,XGBoost,161,176,288,2.8020833333333335,1.9897724202760907,2.565179819761599,3.9586341007502863,0.20682173306573434,-0.0160899484604764
xgb,XGBoost,177,192,288,1.96875,1.70308529861197,2.0267800753556204,3.1084697446218947,0.20855433634200968,0.014133364817108918
xgb,XGBoost,193,208,288,1.6145833333333333,1.4937143520558795,1.8470859554702959,2.7218755514232957,0.13735606119959562,-0.03666273423149535
xgb,XGBoost,209,224,288,1.5972222222222223,1.4573755453931072,1.7719682273217485,2.52207574139857,0.2484595997871856,0.03849746088058448
xgb,XGBoost,225,240,288,1.375,1.3312237036844736,1.6552396019005755,2.4712704281226445,0.1684695911373486,-0.013464205316670474
xgb,XGBoost,241,256,266,1.3421052631578947,1.2467599541294174,1.676287810202851,2.5463888647376893,0.06288571816372039,-0.07538098511248581
xgb,XGBoost,257,272,13,2.3846153846153846,0.9080640077590942,2.6251427806340732,6.667726007158521,-0.26501719512585326,-0.12208756690635325
