test_year,model_type,model,n_train,n_test,cfb_match_rate,mae,rmse,spearman,r2
2017,xgb,XGBoost,10358,253,0.1056188453369376,3.495575720613653,5.109612876764575,0.5298065693912967,0.2361755794105489
2017,catboost,CatBoost,10358,253,0.1056188453369376,3.5085919536207664,5.00406274518429,0.550225095588283,0.267406540079408
2017,rf,Random Forest,10358,253,0.1056188453369376,3.4038425370235337,5.198343261310016,0.5752120414891239,0.2094170359672259
2017,ftt,FT-Transformer,10358,253,0.1056188453369376,3.4677481273181825,5.1519372094741,0.5509173226777957,0.2234692347037429
2017,stack,Stacked Ensemble,10358,253,0.1056188453369376,3.4025504873034196,5.077056067328451,0.571187693483173,0.2458782564053868
2017,pick_bin,Pick-Bin Baseline,10358,253,0.1056188453369376,3.7703352270125383,5.8836022578162686,0.5410252568388002,-0.0127544402724637
2018,spline,Spline Ridge,10611,256,0.1223258882291961,3.7172927815993217,5.664739347715719,0.5137365547839972,0.0394086264164192
2018,xgb,XGBoost,10611,256,0.1223258882291961,3.0093151540495455,4.557365652051844,0.6941820782178594,0.3782632065595155
2018,catboost,CatBoost,10611,256,0.1223258882291961,2.8702096720256196,4.357538575586917,0.7068971485717814,0.4315905360628106
2018,rf,Random Forest,10611,256,0.1223258882291961,2.9195163566364855,4.549308904037399,0.7058662553137139,0.3804595407212416
2018,ftt,FT-Transformer,10611,256,0.1223258882291961,3.088009348255582,4.695639124866624,0.6822953821217943,0.3399630564338549
2018,stack,Stacked Ensemble,10611,256,0.1223258882291961,2.928415867114166,4.504422629028024,0.7102250268780108,0.3926247615745251
2018,pick_bin,Pick-Bin Baseline,10611,256,0.1223258882291961,3.611328125,5.5631652645817224,0.6748475448236227,0.0735483849120723
2019,spline,Spline Ridge,10867,254,0.1402410968988681,3.5784481938324193,5.243873242748002,0.4652477504363941,0.0346902262925871
2019,xgb,XGBoost,10867,254,0.1402410968988681,2.9957798928257047,4.267374051880267,0.6157991835486334,0.3607308343352868
2019,catboost,CatBoost,10867,254,0.1402410968988681,2.9100878353481976,4.059557320647153,0.6156637624473065,0.4214782529573116
2019,rf,Random Forest,10867,254,0.1402410968988681,2.977731701978842,4.303903107510901,0.6108924008414892,0.3497396038169764
2019,ftt,FT-Transformer,10867,254,0.1402410968988681,3.1292901993032514,4.503538512743462,0.6085269960001805,0.2880162278411518
2019,stack,Stacked Ensemble,10867,254,0.1402410968988681,2.9743096772990563,4.29532558052749,0.6182144412129581,0.3523289130785209
2019,pick_bin,Pick-Bin Baseline,10867,254,0.1402410968988681,3.524081541601859,5.1736402575651175,0.6002097918796376,0.0603745144111418
2020,spline,Spline Ridge,11121,255,0.1580793094146209,3.813441251459167,5.774754727199845,0.4227510859192543,0.0027748388071849
2020,xgb,XGBoost,11121,255,0.1580793094146209,3.1231090814459557,4.7401334204291885,0.5849349722067806,0.3280959273614592
2020,catboost,CatBoost,11121,255,0.1580793094146209,3.1809345052671554,4.692288937192095,0.580769816299803,0.3415911871363152
2020,rf,Random Forest,11121,255,0.1580793094146209,3.248154005039467,4.993722600530206,0.5664465900486879,0.2542814108822288
2020,ftt,FT-Transformer,11121,255,0.1580793094146209,3.383372386530334,5.083329127410768,0.5499065261479334,0.2272792031459946
2020,stack,Stacked Ensemble,11121,255,0.1580793094146209,3.2250781191322972,4.903930626942093,0.5741445112938353,0.2808577950388048
2020,pick_bin,Pick-Bin Baseline,11121,255,0.1580793094146209,3.717970722047137,5.687626440771704,0.5522494803141844,0.0326396766307643
2021,spline,Spline Ridge,11376,259,0.1748417721518987,3.762157397947122,5.879888226082882,0.329225892675749,-0.0315942366682264
2021,xgb,XGBoost,11376,259,0.1748417721518987,3.300356661606019,4.740032142563561,0.5289950952294334,0.3296010280274394
2021,catboost,CatBoost,11376,259,0.1748417721518987,3.2858352467335172,4.64981360547308,0.5325545110555239,0.3548779975562908
2021,rf,Random Forest,11376,259,0.1748417721518987,3.2021856242343243,4.804491340428445,0.5537521814361257,0.3112436811674488
2021,ftt,FT-Transformer,11376,259,0.1748417721518987,3.176509430049469,4.717277868347918,0.5587546319807665,0.3360220089458597
2021,stack,Stacked Ensemble,11376,259,0.1748417721518987,3.2097500263087246,4.673688724433655,0.549466012275729,0.3482360507337931
2021,pick_bin,Pick-Bin Baseline,11376,259,0.1748417721518987,3.4845066489330785,5.482965884096739,0.5511310948471639,0.1029805630722058
2022,spline,Spline Ridge,11635,262,0.1913192952299097,3.900923069822899,5.645675681520169,0.3759032209253753,-0.0583780013254033
2022,xgb,XGBoost,11635,262,0.1913192952299097,3.347931954526264,4.80310119837633,0.5163936493515687,0.2339582744212396
2022,catboost,CatBoost,11635,262,0.1913192952299097,3.311459048554314,4.6613197419353245,0.5400555174893731,0.2785159403304047
2022,rf,Random Forest,11635,262,0.1913192952299097,3.3531805110218738,4.926442400326039,0.549469122135793,0.1941099929347135
2022,ftt,FT-Transformer,11635,262,0.1913192952299097,3.5265068703025353,5.1810963271342505,0.5196775431734666,0.1086417563964036
2022,stack,Stacked Ensemble,11635,262,0.1913192952299097,3.3205760148241033,4.8074223491896,0.5454974948126698,0.2325793025006779
2022,pick_bin,Pick-Bin Baseline,11635,262,0.1913192952299097,3.698698914117408,5.533700784765601,0.5371873514833035,-0.0168111427576362
2023,spline,Spline Ridge,11897,259,0.2063545431621417,3.5641421506641633,5.242193834094803,0.4758532226605376,0.0459692724520236
2023,xgb,XGBoost,11897,259,0.2063545431621417,2.776686809479567,3.933392565881253,0.6783234615662342,0.4628806510936123
2023,catboost,CatBoost,11897,259,0.2063545431621417,2.7405985860618087,3.87026331032948,0.6612598270422296,0.4799833633839711
2023,rf,Random Forest,11897,259,0.2063545431621417,2.887191390478044,4.159234602557466,0.6533134855780985,0.3994308117835324
2023,ftt,FT-Transformer,11897,259,0.2063545431621417,2.9906537029532623,4.424677854852503,0.6367051047454618,0.3203277703757067
2023,stack,Stacked Ensemble,11897,259,0.2063545431621417,2.7970314620360655,3.9975367497592447,0.6602630867900396,0.4452195581805708
2023,pick_bin,Pick-Bin Baseline,11897,259,0.2063545431621417,3.34140925034738,4.964763138495955,0.633831056121815,0.1442768528159399
2024,spline,Spline Ridge,12156,257,0.2212076340901612,3.605754933161065,5.227674197262446,0.5206065886324501,0.1003518715719756
2024,xgb,XGBoost,12156,257,0.2212076340901612,3.017359688356229,4.227791892472651,0.5976823960548938,0.4115861896372894
2024,catboost,CatBoost,12156,257,0.2212076340901612,2.9744664718235794,4.021563983038113,0.6096321865400922,0.4675907165261844
2024,rf,Random Forest,12156,257,0.2212076340901612,2.9589968329521392,4.20373181631245,0.6278397149839818,0.4182643788141008
2024,ftt,FT-Transformer,12156,257,0.2212076340901612,3.1493687744502425,4.53125892846476,0.6013624042695956,0.324082931678232
2024,stack,Stacked Ensemble,12156,257,0.2212076340901612,2.9573505909086983,4.108461102631721,0.6180212117080397,0.4443337578747973
2024,pick_bin,Pick-Bin Baseline,12156,257,0.2212076340901612,3.39580782564732,4.991037601857028,0.6131897421898097,0.1799556556879075
