player_id,player,team,conference,season,draft_year,draft_overall,position,defensive_PD,defensive_QB HUR,defensive_SACKS,defensive_SOLO,defensive_TD,defensive_TFL,defensive_TOT,fumbles_FUM,fumbles_LOST,fumbles_REC,interceptions_AVG,interceptions_INT,interceptions_TD,interceptions_YDS,kickReturns_AVG,kickReturns_LONG,kickReturns_NO,kickReturns_TD,kickReturns_YDS,kicking_FGA,kicking_FGM,kicking_LONG,kicking_PCT,kicking_PTS,kicking_XPA,kicking_XPM,passing_ATT,passing_COMPLETIONS,passing_INT,passing_PCT,passing_TD,passing_YDS,passing_YPA,puntReturns_AVG,puntReturns_LONG,puntReturns_NO,puntReturns_TD,puntReturns_YDS,punting_In 20,punting_LONG,punting_NO,punting_TB,punting_YDS,punting_YPP,receiving_LONG,receiving_REC,receiving_TD,receiving_YDS,receiving_YPR,rushing_CAR,rushing_LONG,rushing_TD,rushing_YDS,rushing_YPC
4426359,DeMarvin Leal,Texas A&M,SEC,2019,2022,84,Defensive End,0.0,5.0,2.0,14.0,0.0,5.5,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426359,DeMarvin Leal,Texas A&M,SEC,2020,2022,84,Defensive End,3.0,8.0,2.5,18.0,0.0,7.0,37.0,0.0,0.0,2.0,43.0,1.0,0.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426359,DeMarvin Leal,Texas A&M,SEC,2021,2022,84,Defensive End,2.0,2.0,8.5,27.0,0.0,12.5,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426372,Adisa Isaac,Penn State,Big Ten,2019,2024,93,Linebacker,0.0,0.0,1.5,4.0,0.0,3.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426372,Adisa Isaac,Penn State,Big Ten,2020,2024,93,Linebacker,0.0,2.0,1.5,5.0,0.0,1.5,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426372,Adisa Isaac,Penn State,Big Ten,2022,2024,93,Linebacker,0.0,8.0,4.0,11.0,0.0,9.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426372,Adisa Isaac,Penn State,Big Ten,2023,2024,93,Linebacker,0.0,4.0,7.5,23.0,0.0,16.0,37.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426374,Tyrique Stevenson,Georgia,SEC,2019,2023,56,Cornerback,5.0,0.0,1.0,9.0,0.0,1.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4426374,Tyrique Stevenson,Georgia,SEC,2020,2023,56,Cornerback,5.0,0.0,0.0,22.0,0.0,1.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,23.0,1.0,0.0,23.0,,,,,,,,,,,,,,,,
4426374,Tyrique Stevenson,Miami,ACC,2021,2023,56,Cornerback,4.0,1.0,0.5,29.0,0.0,2.5,43.0,1.0,0.0,0.0,39.0,1.0,0.0,39.0,,,,,,,,,,,,,,,,,,,,9.8,22.0,6.0,0.0,59.0,,,,,,,,,,,,,,,,
