model,model_key,test_year,n_train,n_test,prediction_clip_upper,n_predictions_clipped,mae,rmse,r2,spearman
CatBoost,catboost,2022,5862,262,41.0,0,3.2894938318326994,4.463665555350763,0.31729793810133833,0.5652084093832481
MLP Neural Net,mlp,2022,5862,262,41.0,3,3.4550356858191384,5.075292980865561,0.1173873337105108,0.5595212218273429
Spline Ridge,spline,2022,5862,262,41.0,3,3.33157646065509,4.8622390422836395,0.18993376081460367,0.5467339310693735
Pick-Bin Baseline,pick_bin,2023,6124,259,,0,2.86252703076831,3.9784920018421164,0.4322656086032616,0.6399253823604091
XGBoost,xgboost,2023,6124,259,41.0,0,2.8677146407167884,3.8109742320032303,0.4790689442540472,0.6517496215546973
CatBoost,catboost,2023,6124,259,41.0,0,2.799328813277336,3.766940598203375,0.49103751994401745,0.640206060543005
MLP Neural Net,mlp,2023,6124,259,41.0,3,2.8723487905169214,4.319545745599679,0.33075616397411756,0.5907473216243846
Spline Ridge,spline,2023,6124,259,41.0,0,2.7116883438623294,4.038123728825154,0.4151190614516068,0.6253511811596885
Pick-Bin Baseline,pick_bin,2024,6383,257,,0,2.9364255907065924,3.9883369306659824,0.4588753461490471,0.6290313542670607
XGBoost,xgboost,2024,6383,257,41.0,0,2.863481207580418,3.758162201276061,0.5195317640041284,0.6486457873162192
CatBoost,catboost,2024,6383,257,41.0,0,2.915015176013761,3.790859907252212,0.5111348129315108,0.6486162101661644
MLP Neural Net,mlp,2024,6383,257,41.0,2,3.051569008261007,4.427815031509012,0.33305106765939596,0.623263891981954
Spline Ridge,spline,2024,6383,257,41.0,0,2.86688947426454,4.010620122559615,0.45281183184503815,0.6363046323680418
