pfr_player_id,player_name,pfr_player_name,position,primary_position,last_team,last_class,n_seasons,first_season,last_season,first_av_year,target_av,games
GarnJo00,Joshua Garnett,Joshua Garnett,OL,G,Stanford,SR,1,2015,2015,2016,5.0,14
McGaKa00,Kaleb McGary,Kaleb McGary,OL,RT,Washington,SO,1,2016,2016,2019,15.0,14
MurpKy00,Kyle Murphy,Kyle Murphy,OL,T,Stanford,SR,1,2015,2015,2016,2.0,14
HolmLa00,Lamar Holmes,Lamar Holmes,OL,T,Southern Mississippi,SR,1,2011,2011,2012,8.0,14
TurnLa00,Landon Turner,Landon Turner,G,G,North Carolina,SR,1,2015,2015,2016,1.0,14
WattLu00,Luke Wattenberg,Luke Wattenberg,OL,C,Washington,SO,1,2018,2018,2022,2.0,14
AumaMa00,Malaesala Aumavae-Laulu,Malaesala Aumavae-Laulu,OL,G,Oregon,JR,1,2021,2021,2024,0.0,14
WrotMa20,Mansfield Wrotto,Mansfield Wrotto,OL,G,Georgia Tech,SR,1,2006,2006,2008,3.0,14
HenrMa02,Marcus Henry,Marcus Henry,OL,C,Boise State,JR,1,2014,2014,2020,0.0,14
PryoMa00,Matt Pryor,Matt Pryor,G,OL,Texas Christian,SR,1,2017,2017,2019,5.0,14
PounMa20,Maurkice Pouncey,Maurkice Pouncey,OL,C,Florida,JR,2,2008,2009,2010,25.0,28
SchaMa01,Max Scharping,Max Scharping,OL,G,Northern Illinois,FR,1,2015,2015,2019,13.0,14
DeitMi00,Michael Deiter,Michael Deiter,OL,C,Wisconsin,JR,1,2017,2017,2019,7.0,14
JohnMi23,Mike Johnson,Mike Johnson,OL,G,Alabama,JR,1,2008,2008,2011,2.0,14
TorrOC00,O'Cyrus Torrence,O'Cyrus Torrence,OL,G,Louisiana,FR,1,2019,2019,2023,16.0,14
PaulPa01,Patrick Paul,Patrick Paul,OL,OT,Houston,FR,1,2021,2021,2024,10.0,14
SewePe00,Penei Sewell,Penei Sewell,OL,RT,Oregon,SO,1,2019,2019,2021,20.0,14
HillRa01,Rashod Hill,Rashod Hill,OL,T,Southern Mississippi,SR,1,2015,2015,2016,5.0,14
HenrRi00,Ricky Henry,Ricky Henry,OL,G,Nebraska,SR,1,2010,2010,2011,0.0,14
